userName,score,at,content
Pengguna Google,5,2025-04-19 05:40:39,"gameplay nya seru,tapi mimin garena jaringannya ini lo pdahal wifi syaa jaringan nya bgus kok jaringan di game nya gak bguss??"
Pengguna Google,5,2025-04-19 05:40:35,baguss min buat isian
Pengguna Google,5,2025-04-19 05:39:43,game yang seru
Pengguna Google,5,2025-04-19 05:38:25,si mindut bot
Pengguna Google,5,2025-04-19 05:37:55,liat tuh ml jaringan 100 aja masih bisa main lah elu jaringan 80 aja ngeleg gimanaa mau berkembang event old dikeluarin lagi hadehhh Garena nya korupsi ya?
Pengguna Google,4,2025-04-19 05:37:21,seruuuu👍❤️
Pengguna Google,5,2025-04-19 05:36:58,ff mantap
Pengguna Google,4,2025-04-19 05:36:01,trimakasih
Pengguna Google,5,2025-04-19 05:34:48,bagus sekali semoga makin bayak orang instal amin ya alah
Pengguna Google,1,2025-04-19 05:34:29,tolang lah papn iklannya jangan gangu kasi bintang satu aja ya soal ya gangu banget tepencet papan iklanya langsung nengok YouTube tolong dihapus papn iklanya
Pengguna Google,1,2025-04-19 05:29:58,gemnya gaseru
Pengguna Google,3,2025-04-19 05:29:54,"tolong perbaiki tiap lagi maen suka kembali ke menu dan harus login ulang padahal hp aman"" aja sinyal bagus tapi suka tiba"" kembali tqi emang"
Pengguna Google,2,2025-04-19 05:29:41,min ff semenjak banyak event ad bug tambahan dan jaringan selalu memakai wifi tetapi jaringan 999 dan banyak bug bug lainnya untuk ff harus nya seperti dulu lagi
Pengguna Google,1,2025-04-19 05:29:22,game kikir
Pengguna Google,5,2025-04-19 05:27:30,seru banget ya
Pengguna Google,5,2025-04-19 05:27:15,batu banget gam
Pengguna Google,5,2025-04-19 05:26:19,game keren
Pengguna Google,5,2025-04-19 05:25:36,gemnya bagus sekali.
Pengguna Google,1,2025-04-19 05:25:32,gak bisa login ke ff ya sudah saya coba berapa kali didak bisa
Pengguna Google,2,2025-04-19 05:25:09,ko gelap ya
Pengguna Google,5,2025-04-19 05:23:51,game nya seru tapi tolong hilangin bug damage garena
Pengguna Google,1,2025-04-19 05:23:21,hal yang saya benci di free fire adalah jaringan nya
Pengguna Google,1,2025-04-19 05:20:37,ngelek kali jaringan gua bagus mau apa garena👎😡
Pengguna Google,5,2025-04-19 05:19:49,bagus
Pengguna Google,5,2025-04-19 05:16:35,ini ada lah game paling bersejarah dan paling mantap semua orang yang memainkan game ini bisa ikut turnamen bahkan youtuber pun me main kan game ini👏👏
Pengguna Google,5,2025-04-19 05:16:21,game burikkk
Pengguna Google,5,2025-04-19 05:16:09,bagusss buat ngepushh ngepngeppp
Pengguna Google,5,2025-04-19 05:16:04,game ny asik uy wajib bgt donglod si kalian
Pengguna Google,5,2025-04-19 05:15:48,ff sangat bagus sekali aku aja sampai ke canduan pokonya mantap
Pengguna Google,5,2025-04-19 05:15:17,Game nya bagus bgt
Pengguna Google,4,2025-04-19 05:14:48,lumayan lama
Pengguna Google,4,2025-04-19 05:14:09,ff sangat menyenangkan
Pengguna Google,5,2025-04-19 05:14:07,siyal saya kurang bagus kalo main ff dan juga tidak lelet hape saya saat main ff terus dari itu tapi saya bangga dengan main ff dengan alasan ini
Pengguna Google,2,2025-04-19 05:13:12,"gamenya udh bagus tapi sayang banyak bocil bocil yg cuma rusuh pamer emot trs beban on mic yg bikin ga fokus, tolong min setiap baru download batasi umur min, padahal gameplaynya udh bagus sayang bangat itu banyak dark sistem beban"
Pengguna Google,5,2025-04-19 05:13:03,baik
Pengguna Google,5,2025-04-19 05:08:42,sangat bagus
Pengguna Google,4,2025-04-19 05:08:31,gamenya sudah bagus tapi download mbnya tolong diturunin
Pengguna Google,5,2025-04-19 05:07:52,Saya kasih bintang 1 karena banyak bug
Pengguna Google,5,2025-04-19 05:07:32,Seru bgt sumpah bisa mabar bareng temen g ngelek pakok nya seru deh
Pengguna Google,5,2025-04-19 05:05:42,baggus anjai
Pengguna Google,2,2025-04-19 05:05:33,buat air terjun biar mewaaah peta baru
Pengguna Google,4,2025-04-19 05:03:18,Bagus
Pengguna Google,5,2025-04-19 05:02:53,game terseru
Pengguna Google,5,2025-04-19 05:00:00,game ini sangat seru
Pengguna Google,1,2025-04-19 04:59:55,ini game apaan sinyal bagus kok ngelag
Pengguna Google,5,2025-04-19 04:58:45,seru banget game nya
Pengguna Google,5,2025-04-19 04:57:32,terbaik
Pengguna Google,1,2025-04-19 04:56:08,game ini membuat aku kesal karena teman nya beban
Pengguna Google,5,2025-04-19 04:56:06,menurut gw sih ini gem bagus gw juga main taun 2018 tapi yang kurang nya itu player nya tambahin jadi 70an biar makin rame sama tim nya jadi 5/6 biar bisa mabar terus map nya di gedein bisa gk sempit sama tambahin kaya perumahan baru mobil senjata motor dll biar banyak yang main dan kurangin hacker nya biar gk terlalu nyusahin zona nya juga biar nanti youtuber nya bisa konten lebih mudah. gimana nih min setuju gk
Pengguna Google,5,2025-04-19 04:54:49,Game Ini Sangat Menyenangkan
Pengguna Google,1,2025-04-19 04:54:22,game mafia lol nguras uang blok
Pengguna Google,5,2025-04-19 04:53:50,game terbagus dan teramai di dunia ini
Pengguna Google,1,2025-04-19 04:52:46,ges gem ya ngebug
Pengguna Google,5,2025-04-19 04:52:31,game nya sangat seru 👍
Pengguna Google,1,2025-04-19 04:52:29,Garena plis mempermudah kan spin SG Garena soalnya spin batu ke 5 susah bet plis enakin spin SG nya Garena 😭😭😭
Pengguna Google,5,2025-04-19 04:52:18,geme seru banget
Pengguna Google,1,2025-04-19 04:51:49,ff ini game burik harus di perbaiki lagi
Pengguna Google,1,2025-04-19 04:51:07,game butut masa sinyal bagus tapi ngeleg
Pengguna Google,5,2025-04-19 04:49:14,game seru
Pengguna Google,1,2025-04-19 04:49:01,gampang ngelak
Pengguna Google,5,2025-04-19 04:47:11,aku suka ff
Pengguna Google,5,2025-04-19 04:46:57,sangat bagus
Pengguna Google,1,2025-04-19 04:46:00,bug damage nya sangat meresahkan padahal headshot tapi musuhnya ngak mati
Pengguna Google,5,2025-04-19 04:45:53,GAME BURIK
Pengguna Google,2,2025-04-19 04:45:32,setingannya tiba tiba ganti pas bewan
Pengguna Google,5,2025-04-19 04:45:20,grafiknya bagus dan seru gegegegumang
Pengguna Google,3,2025-04-19 04:44:56,"Min tolong, Player yg pakai cheat panel atau apapun itu, langsung di selidiki, jangan cuma dalam pemrosesan, atau bukti tidak mencukupi, pdahal jelas"" pas main aim nya ngga ngotak, terus masalah jaringan, pas masih belum war aman"" aja giliran war malah naik turun, bug vault juga, padahal dah di download semua vault nya , tapi ngebug malah ngga ke dodownload ,tolong diperbaiki ya Min"
Pengguna Google,5,2025-04-19 04:43:16,Bagus
Pengguna Google,4,2025-04-19 04:42:14,perbanyak spinan dan sg gratis bawa lobi
Pengguna Google,4,2025-04-19 04:41:39,😁😁😁😁
Pengguna Google,1,2025-04-19 04:40:06,"sg gurun apalah, tower token penipuan terbesar 1 token terakhir habis ribuan dm ga dapet dapet, hadiah token ke 4 jelek banget tolong lah di bagusin, ini hari terakhur eventnya dan tokenku masih 4 , nyesel gw spin habis ribuah dm kek kon"
Pengguna Google,5,2025-04-19 04:37:52,seruu bgt gem nya 😻😻
Pengguna Google,5,2025-04-19 04:36:23,seru aku kasih bintang five
Pengguna Google,5,2025-04-19 04:35:43,rowr
Pengguna Google,5,2025-04-19 04:35:31,Bagus dan seru
Pengguna Google,5,2025-04-19 04:33:51,waw sangat bagus
Pengguna Google,3,2025-04-19 04:33:24,"tolong bedain mana yang afk mana yang jaringan buruk, kebiasaan mau main jaringan buruk terus kepental tapi honor score terkuras, sama 1 lagi bug bug nya dibenerin kaya teleport gajelas sama sinyal lag tanpa sebab"
Pengguna Google,5,2025-04-19 04:32:43,mimin garena aku player old yg udah lama pensi tapi pas aku mau combek akun ku gak ada aku main dari 2019 tolong garena
Pengguna Google,5,2025-04-19 04:32:30,seru
Pengguna Google,5,2025-04-19 04:30:59,game ini sangat seru uuuuu
Pengguna Google,5,2025-04-19 04:30:20,FF NO 1
Pengguna Google,2,2025-04-19 04:28:28,Banyak citer bang
Pengguna Google,5,2025-04-19 04:27:38,bgus mantap keren
Pengguna Google,5,2025-04-19 04:27:03,game nya sangat bagus
Pengguna Google,5,2025-04-19 04:26:36,suka
Pengguna Google,5,2025-04-19 04:26:29,apik
Pengguna Google,1,2025-04-19 04:26:17,AKUN SAYA KENA HACK
Pengguna Google,5,2025-04-19 04:26:06,baguss tapi burikk🤣🤣
Pengguna Google,1,2025-04-19 04:26:06,diamond 10000000000099k
Pengguna Google,2,2025-04-19 04:25:36,"fitur replay kematian nya kasih opsi untuk di nonaktifkan lah, ganggu banget bikin lag buat yg hp nya kentang"
Pengguna Google,5,2025-04-19 04:25:21,bagus
Pengguna Google,5,2025-04-19 04:25:10,bagusss banget aku cinta free fire
Pengguna Google,5,2025-04-19 04:24:28,mari main ff seru bangat loh
Pengguna Google,5,2025-04-19 04:23:57,game nya bagus seru lagi buruan download
Pengguna Google,5,2025-04-19 04:19:28,gem Nia bagus banget
Pengguna Google,2,2025-04-19 04:17:53,game konyol
Pengguna Google,1,2025-04-19 04:17:45,optimasi lgi dong
Pengguna Google,5,2025-04-19 04:17:20,untuk garena game nya sangat bagus sekali
Pengguna Google,5,2025-04-19 04:16:17,bagusssss
Pengguna Google,5,2025-04-19 04:13:26,seru
Pengguna Google,1,2025-04-19 04:12:47,game gak bagus harus pake download resources
Pengguna Google,1,2025-04-19 04:11:07,game rusak
Pengguna Google,5,2025-04-19 04:10:42,bagus
Pengguna Google,5,2025-04-19 04:10:03,Enak kalo dimain sama teman
Pengguna Google,5,2025-04-19 04:09:59,saya suka game
Pengguna Google,5,2025-04-19 04:09:31,ff nya keren dan bagus wellkl wkwjwkwkwkw
Pengguna Google,1,2025-04-19 04:09:27,anjeng Reng nya naik dikit tapi turun banyak Garena mam
Pengguna Google,5,2025-04-19 04:08:54,sangat seru
Pengguna Google,5,2025-04-19 04:06:57,aku kasih reting lima soalnya game fire free seru banget
Pengguna Google,5,2025-04-19 04:06:19,aku suka ff karena ada ff Beta testing jadi aku kasi bintang limah
Pengguna Google,5,2025-04-19 04:05:05,game Nya Hd Terus Gw Main Ff Dari 2019 Kalo Bisa Balikin Akun Aku Garena Nama Akun OX DORAEMON
Pengguna Google,5,2025-04-19 04:04:50,pertempuran nya seru
Pengguna Google,1,2025-04-19 04:03:52,Gw udah pensi game nya burik gak ada skin gratisan minimal dapet dm lah garena huhuhu
